Model;RMSE-train;MAE-train;RMSE-test;MAE-test;Optimal
LR-NE;6.1963;5.0035;65.0682;51.0695;0
LR-GD;8.2561;6.7941;49.5143;32.7404;0
SVM-SVR;28.8901;15.9782;51.127;25.7441;1
SVM-LinSVR;25.1165;11.7567;48.8206;22.2842;1
NN;24.3451;15.0343;47.1769;22.1307;1
