Model;RMSE-train;MAE-train;RMSE-test;MAE-test;Optimal
LR-NE;11.1734;9.1544;12.3754;10.1121;0.0000
LR-GD;1051393238.9279;896519558.0399;1101004332.9678;932642663.4204;0.0000
SVM-SVR;10.8471;8.7780;11.4739;9.4421;0.0000
SVM-LinSVR;11.4642;8.9971;12.5443;10.2234;0.0000
NN;10.6953;8.6714;11.5018;9.3335;0.0000
