Model;RMSE-train;MAE-train;RMSE-test;MAE-test;Optimal
LR-NE;7.2930;5.9092;150.8328;120.8553;0.1000
LR-GD;1358552961457.0535;1321152268393.3086;1365319676234.8423;1327592902018.0095;0.0300
SVM-SVR;56.4059;46.4625;60.2279;50.8190;0.0900
SVM-LinSVR;51.0265;34.8077;64.7404;50.8167;0.0000
NN;39.7728;31.2678;49.8477;39.6073;0.0100
