Model;RMSE-train;MAE-train;RMSE-test;MAE-test;Optimal
LR-NE;0.8127;0.6539;16.5282;13.2640;0.0300
LR-GD;1399410917555.3943;1359337105284.5393;1405240925569.2156;1365132101281.7771;0.0200
SVM-SVR;4.4158;3.0315;5.4644;4.1226;0.0900
SVM-LinSVR;3.2829;1.9333;6.1512;4.7532;0.0200
NN;2.7795;2.0189;4.6861;3.6077;0.0500
